Date,Open,High,Low,Close,Volume
2024-10-13,194.801,194.958,194.5642,194.7755,0.0
2024-10-14,194.8232,196.0522,194.2857,195.5201,0.0
2024-10-15,195.5353,196.3284,194.018,194.9846,0.0
2024-10-16,194.9809,195.9071,193.1667,194.2969,0.0
2024-10-17,194.2665,195.7658,193.6124,195.356,0.0
2024-10-18,195.3645,196.4418,194.2744,195.048,0.0
2024-10-19,195.048,195.048,195.048,195.048,0.0
2024-10-20,195.048,195.2117,194.7754,195.0074,0.0
2024-10-21,195.0141,197.0267,193.4616,195.6627,0.0
2024-10-22,195.6703,196.7816,194.7988,196.014,0.0
2024-10-23,196.0248,199.0634,194.8828,197.2013,0.0
2024-10-24,197.1936,198.4887,195.6216,196.8926,0.0
2024-10-25,196.8818,198.0711,196.2121,197.293,0.0
2024-10-26,197.293,197.293,197.293,197.293,0.0
2024-10-27,197.2515,198.8478,197.1754,198.1636,0.0
2024-10-28,198.169,200.0666,197.1973,198.6607,0.0
2024-10-29,198.7075,200.2874,197.9273,199.4513,0.0
2024-10-30,199.4687,200.2066,197.6389,198.7346,0.0
2024-10-31,198.7327,199.6947,194.9988,196.013,0.0
2024-11-01,196.0249,198.7191,195.5508,197.698,0.0
2024-11-02,197.698,197.698,197.698,197.698,0.0
2024-11-03,197.6954,198.3592,196.629,197.4268,0.0
2024-11-04,197.4332,198.3012,195.9833,197.0915,0.0
2024-11-05,197.0808,198.9555,195.9371,197.7057,0.0
2024-11-06,197.7037,201.8422,194.1508,199.133,0.0
2024-11-07,199.1163,201.2661,196.5234,198.5827,0.0
2024-11-08,198.5786,199.2086,195.9983,197.0932,0.0
2024-11-09,197.2003,197.2003,197.2003,197.2003,0.0
2024-11-10,197.2003,197.2895,196.8727,197.0197,0.0
2024-11-11,197.089,198.9922,196.1839,197.7604,0.0
2024-11-12,197.7617,199.4411,195.1102,197.0681,0.0
2024-11-13,197.0177,198.7276,195.7894,197.5283,0.0
2024-11-14,197.4862,198.9665,196.152,197.8739,0.0
2024-11-15,197.871,199.0229,193.809,194.7133,0.0
2024-11-16,194.6716,194.6917,194.6716,194.6917,0.0
2024-11-17,194.5869,194.6147,194.5869,194.597,0.0
2024-11-18,194.8237,197.0962,193.9047,196.0532,0.0
2024-11-19,196.0473,196.4304,193.3189,196.0873,0.0
2024-11-20,196.0769,198.2013,195.164,196.5987,0.0
2024-11-21,196.5628,196.7503,193.5441,194.5123,0.0
2024-11-22,194.4831,195.24,192.2468,193.8984,0.0
